txtAuthor,domains
!! FiGo !!,1
!-Bb0yH4cK3r_Dz-!,86
#13bond,4
#3171,0
#An0nsouL,15
#Martijn,0
#PornStar,0
#vis#,0
$!ngh,0
$$$Dollar$$$,0
%24-ngh,0
%2Abadoor%2A,0
%2Atvscst%2A,0
%3D-j-a-c-k-%3D,0
%3Dgomz%3D,136
%3Dhhhhh%3D,0
%40%40aa%40%40,0
%40fs25353,11
%40l3awa%40,267
%5Ba%5Dli-%5Bm%5Donster,0
%5Bh%5Dero,0
%5C-%5C-%5C,34
%7E%2Aprince%2A%7E,0
%7E%7Ejigar%7E%7E,0
%7E2-d%7E,0
%7Ecyberghost%7E,0
%7Ej%7E,19
%8E%80r%D8%99,0
&amp;#1084;&amp;#1077;&amp;#1090;&amp;#1086;&amp;#1076;,2
&amp;#304;SO2891,0
&amp;#945;&amp;#961;&amp;#945;c&amp;#1085;&amp;#1108;&amp;#661;&amp;#865;&amp;#7461;&amp;#660;,31
&amp;#9733;Germand&amp;#10008;&amp;#9733;,0
&amp;Avril&amp;,0
'Vullis,0
'X - StREezZ',18
(o-o),0
*TVSCST*,18
*badoor*,0
*zazzor*,0
+ColdFire-,0
-%3Dcute%3D-,13
-+REAPER+-,0
--devil,0
--devil--,22
-0-,2
-=CUTE=-,109
-JDM-,0
-Neo-,1
-Quarant1ne-,0
-Tinku-,0
-an0nsoul,0
-and-1082%3B-and-1103%3B-and-1091%3B-and-961%3B-and-1090%3B-and-963%3B-and-951%3B,18
-and-12513%3B-and-12477%3B-and-12483%3B-and-12489%3B,0
-bb0yh4ck3r_dz-,2
-c-%99-%95-%95-,1
-coldfire-,0
-devil-,3
-figo-,1
-germand-,0
-hacker-,15
-kriz-,0
-m-ucenik-,0
-martijn,0
-neo-,0
-nplz_boy-,2
-o-o-,0
-p-e-i-n-,0
-pornstar,1
-quarant1ne-,17
-reaper-,0
-reb0rn123,3
-root-access,1
-security,2
-shooter-,1
-tinku-,2
-vullis,0
-weapon,0
-while,0
-x-,0
-x-streezz-,0
...::.P.E.I.N.::...,0
./RoOt-Access,0
.CM PUNK.,0
.Revox3,0
.Richard,0
.create,0
.while,1
0000,0
00000000,0
0000000001,0
000edu000,0
00786able,0
007chessie13,0
00dMb00,0
00dmb00,0
00nola,1
01001011,0
0106mas,1
0147,3
01draze,0
021272x,9
03030303,0
03451a,0
038rs,0
040147,0
0456adkk,0
04dabow,0
04lust4u,0
0536700,0
0625c,0
069928,0
06dsanderson,37
070711,4
074,0
075diice,0
080me080,4
086mohammad,40
090061,0
0H0,0
0adrz123,0
0depredador,0
0depredador1,2
0depredador2,1
0depredador3,3
0depredador4,0
0depredador5,0
0depredador6,0
0h0,1
0johnwick,2
0jonny,0
0kai0,0
0liver,0
0ni,0
0pa,0
0pistoleiro36,0
0rochi,0
0setrack,0
0sh1t,0
0utlaw,1
0uzhan,85
0v3rdog,14
0ver1ord,0
0x03,1
0x22,0
0x90,2
0x90k,0
0xclown,0
100110,0
100RAV,0
100jahaz,0
100mbit,33
10100111001,0
102001,0
102948,1
103432,0
10802012,0
10baros10,7
10f585c3,0
10george,13
10minhej,0
10minutmail,2
10stacks,0
1102311,0
111000,0
111111,0
11111111,0
1111STEFAN,0
1111stefan,0
111222,0
1114909,0
111cock121ck,17
112131415,0
114mal,0
1187marcov,0
11leader,1
11mcarter,0
11xx44,18
121211122112121221,0
121212,15
1212313213,0
122112122112,0
123 owned2,0
1230000,19
123123,44
1231231231231,0
12312safddasd,0
1231995,1
1231qwerty,0
1234321a,0
123454321,0
123456,0
1234567,7
123456788,0
123456789,0
12345678910,0
123456789trip,0
123456789try,1
12345678A@1,0
12345678a%401,1
123456AB,0
123456abcehd,0
123456em,0
12345yay,1
1234@gmail.com,0
1234Frank,0
1234asdf,0
1234jay1234,0
