txtAuthor,mac_addresses
!! FiGo !!,0
!-Bb0yH4cK3r_Dz-!,0
#13bond,0
#3171,0
#An0nsouL,0
#Martijn,0
#PornStar,0
#vis#,0
$!ngh,0
$$$Dollar$$$,0
%24-ngh,0
%2Abadoor%2A,0
%2Atvscst%2A,0
%3D-j-a-c-k-%3D,0
%3Dgomz%3D,0
%3Dhhhhh%3D,0
%40%40aa%40%40,0
%40fs25353,0
%40l3awa%40,0
%5Ba%5Dli-%5Bm%5Donster,0
%5Bh%5Dero,0
%5C-%5C-%5C,0
%7E%2Aprince%2A%7E,0
%7E%7Ejigar%7E%7E,0
%7E2-d%7E,0
%7Ecyberghost%7E,0
%7Ej%7E,0
%8E%80r%D8%99,0
&amp;#1084;&amp;#1077;&amp;#1090;&amp;#1086;&amp;#1076;,0
&amp;#304;SO2891,0
&amp;#945;&amp;#961;&amp;#945;c&amp;#1085;&amp;#1108;&amp;#661;&amp;#865;&amp;#7461;&amp;#660;,0
&amp;#9733;Germand&amp;#10008;&amp;#9733;,0
&amp;Avril&amp;,0
'Vullis,0
'X - StREezZ',0
(o-o),0
*TVSCST*,0
*badoor*,0
*zazzor*,0
+ColdFire-,0
-%3Dcute%3D-,0
-+REAPER+-,0
--devil,0
--devil--,0
-0-,0
-=CUTE=-,0
-JDM-,0
-Neo-,0
-Quarant1ne-,0
-Tinku-,0
-an0nsoul,0
-and-1082%3B-and-1103%3B-and-1091%3B-and-961%3B-and-1090%3B-and-963%3B-and-951%3B,0
-and-12513%3B-and-12477%3B-and-12483%3B-and-12489%3B,0
-bb0yh4ck3r_dz-,0
-c-%99-%95-%95-,0
-coldfire-,0
-devil-,0
-figo-,0
-germand-,0
-hacker-,0
-kriz-,0
-m-ucenik-,0
-martijn,0
-neo-,0
-nplz_boy-,0
-o-o-,0
-p-e-i-n-,0
-pornstar,0
-quarant1ne-,0
-reaper-,0
-reb0rn123,0
-root-access,0
-security,0
-shooter-,0
-tinku-,0
-vullis,0
-weapon,0
-while,0
-x-,0
-x-streezz-,0
...::.P.E.I.N.::...,0
./RoOt-Access,0
.CM PUNK.,0
.Revox3,0
.Richard,0
.create,0
.while,0
0000,0
00000000,0
0000000001,0
000edu000,0
00786able,0
007chessie13,0
00dMb00,0
00dmb00,0
00nola,0
01001011,0
0106mas,0
0147,0
01draze,0
021272x,0
03030303,0
03451a,0
038rs,0
040147,0
0456adkk,0
04dabow,0
04lust4u,0
0536700,0
0625c,0
069928,0
06dsanderson,0
070711,0
074,0
075diice,0
080me080,0
086mohammad,0
090061,0
0H0,0
0adrz123,0
0depredador,0
0depredador1,0
0depredador2,0
0depredador3,0
0depredador4,0
0depredador5,0
0depredador6,0
0h0,0
